"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_again.csv",,,,"Date:","17 Oct 2019 12:50:09 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
17-10 12:51:42,0,0.062,99.938,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,485,414,0,0,0,88,141,0,3221221376,10,8,0,0,0,
17-10 12:51:43,0,0.125,99.875,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,366,548,0,0,0,119,197,0,3221221376,10,8,0,0,0,
17-10 12:51:44,0,0.062,99.875,0.062,0,700547072,65106911232,191016960,1238765568,0,32768,0,4,1180,682,0,0,0,118,183,0,3221221376,10,8,0,0,0,
17-10 12:51:45,0,0.063,99.937,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,641,430,0,0,0,103,171,0,3221221376,10,8,0,0,0,
17-10 12:51:46,0.062,0.125,99.813,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,1394,816,0,0,0,127,223,0,3221221376,10,8,0,0,0,
17-10 12:51:47,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,186,414,0,0,0,98,181,0,3221221376,10,8,0,0,0,
17-10 12:51:48,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,605,548,0,0,0,94,152,0,3221221376,10,8,0,0,0,
17-10 12:51:49,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,486,742,1,0,0,110,199,0,3221221376,10,8,0,0,0,
17-10 12:51:50,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,24576,0,4,940,414,0,0,0,99,158,0,3221221376,10,8,0,0,0,
17-10 12:51:51,0,0.125,99.875,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,666,624,0,0,0,109,178,0,3221221376,10,8,0,0,0,
17-10 12:51:52,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,605,608,0,0,0,100,164,0,3221221376,10,8,0,0,0,
17-10 12:51:53,0,0.063,99.937,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,366,548,0,0,1,96,161,0,3221221376,10,8,0,0,0,
17-10 12:51:54,0.062,0.125,99.813,0,0,700039168,65107419136,191016960,1238765568,0,0,0,0,305,414,0,0,0,90,169,0,3221221376,10,8,0,0,0,
17-10 12:51:55,0.063,0.063,99.875,0,0,701054976,65106403328,191016960,1238765568,0,8192,0,2,606,548,0,0,1,124,211,0,3221221376,10,8,0,0,0,
17-10 12:51:56,0,0.063,99.937,0,0,701054976,65106403328,191016960,1238765568,0,24576,0,4,820,564,0,0,0,112,174,0,3221221376,10,8,0,0,0,
17-10 12:51:57,0.062,0.062,99.875,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,606,564,0,0,0,98,153,0,3221221376,10,8,0,0,0,
17-10 12:51:58,0,0.063,99.937,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,760,548,0,0,0,100,161,0,3221221376,10,8,0,0,0,
17-10 12:51:59,0,0.125,99.875,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,606,548,0,0,0,112,190,0,3221221376,10,8,0,0,0,
17-10 12:52:00,0,0.063,99.937,0,0,701054976,65106403328,191016960,1238765568,0,40960,0,4,785,548,1,0,0,121,185,0,3221221376,10,8,0,0,0,
17-10 12:52:01,0,0.063,99.937,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,306,564,0,0,0,88,148,0,3221221376,10,8,0,0,0,
17-10 12:52:02,0,0.063,99.875,0.063,0,701054976,65106403328,191016960,1238765568,0,32768,0,4,1403,742,0,1,0,144,203,0,3221221376,10,8,0,0,0,
17-10 12:52:03,0,0.125,99.875,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,666,430,0,0,0,109,183,0,3221221376,10,8,0,0,0,
17-10 12:52:04,0,0.063,99.937,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,605,668,0,1,0,99,204,0,3221221376,10,8,0,0,0,
17-10 12:52:05,0,0.125,99.875,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,546,682,0,0,0,109,223,0,3221221376,10,8,0,0,0,
17-10 12:52:06,0.062,0.062,99.875,0,0,701054976,65106403328,191016960,1238765568,0,0,0,0,545,414,0,0,0,80,135,0,3221221376,10,8,0,0,0,
17-10 12:52:07,0,0.063,99.937,0,0,701050880,65106403328,191016960,1238769664,0,0,0,0,1574,548,1,0,0,124,195,0,3221221376,10,8,0,0,0,
17-10 12:52:08,0,0.125,99.875,0,0,701050880,65106403328,191016960,1238769664,0,65536,0,6,485,548,0,0,0,104,169,0,3221221376,10,8,0,0,0,
17-10 12:52:09,1.566,0.439,97.995,0,0,704278528,65103175680,191016960,1238777856,0,0,0,0,5321,4722,0,0,0,922,737,0,3221221376,10,9,0,0,0,
17-10 12:52:10,0.125,0.250,99.562,0.063,0,612970496,65194483712,191016960,1238761472,0,81920,0,6,1157,1727,0,0,0,413,573,0,3221221376,6,8,0,0,0,
17-10 12:52:11,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,546,430,0,0,0,77,133,0,3221221376,6,8,0,0,0,
17-10 12:52:12,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,665,414,0,0,0,62,98,0,3221221376,6,8,0,0,0,
17-10 12:52:13,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,580,414,0,0,0,65,102,0,3221221376,6,8,0,0,0,
17-10 12:52:14,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,759,414,0,0,0,65,108,0,3221221376,6,8,0,0,0,
17-10 12:52:15,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,106496,0,12,126,414,0,0,0,82,144,0,3221221376,6,8,0,0,0,
17-10 12:52:16,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,605,430,0,0,0,70,102,0,3221221376,6,8,0,0,0,
17-10 12:52:17,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,1060,414,0,0,0,69,103,0,3221221376,6,8,0,0,0,
17-10 12:52:18,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,640,414,0,0,0,63,109,0,3221221376,6,8,0,0,0,
17-10 12:52:19,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,186,414,0,0,0,70,130,0,3221221376,6,8,0,0,0,
17-10 12:52:20,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,766,546,0,0,0,73,111,0,3221221376,6,8,0,0,0,
17-10 12:52:21,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,24576,0,4,486,576,0,0,0,69,102,0,3221221376,6,8,0,0,0,
17-10 12:52:22,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,491,1030,0,0,0,61,103,0,3221221376,6,8,0,0,0,
17-10 12:52:23,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,306,414,0,0,0,97,137,0,3221221376,6,8,0,0,0,
17-10 12:52:24,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,485,414,0,0,0,80,102,0,3221221376,6,8,0,0,0,
17-10 12:52:25,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,246,414,0,0,0,64,97,0,3221221376,6,8,0,0,0,
17-10 12:52:26,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,605,414,0,0,0,75,111,0,3221221376,6,8,0,0,0,
17-10 12:52:27,0,0.062,99.875,0.062,0,612962304,65194491904,191016960,1238761472,0,24576,0,4,468,480,0,0,0,83,139,0,3221221376,6,8,0,0,0,
17-10 12:52:28,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,700,430,0,0,0,64,101,0,3221221376,6,8,0,0,0,
17-10 12:52:29,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,246,414,0,0,0,54,93,0,3221221376,6,8,0,0,0,
17-10 12:52:30,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,40960,0,6,245,414,0,0,0,59,100,0,3221221376,6,8,0,0,0,
17-10 12:52:31,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,366,430,0,0,0,79,125,0,3221221376,6,8,0,0,0,
17-10 12:52:32,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,828,474,0,0,0,75,111,0,3221221376,6,8,0,0,0,
17-10 12:52:33,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,24576,0,4,486,414,0,0,0,76,113,0,3221221376,6,8,0,0,0,
17-10 12:52:34,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,605,430,0,0,0,61,99,0,3221221376,6,8,0,0,0,
17-10 12:52:35,0,0.063,99.937,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,641,474,0,0,0,79,135,0,3221221376,6,8,0,0,0,
17-10 12:52:36,0,0.125,99.875,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,545,414,0,0,0,62,96,0,3221221376,6,8,0,0,0,
17-10 12:52:37,0,0.062,99.938,0,0,612962304,65194491904,191016960,1238761472,0,0,0,0,426,414,0,0,0,56,91,0,3221221376,6,8,0,0,0,
17-10 12:52:38,0,0.063,99.937,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,425,414,0,0,0,58,99,0,3221221376,6,8,0,0,0,
17-10 12:52:39,0,0.063,99.937,0,0,612958208,65194491904,191016960,1238765568,0,57344,0,6,820,414,0,0,0,97,156,0,3221221376,6,8,0,0,0,
17-10 12:52:40,0,0.062,99.938,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,365,430,0,0,0,57,97,0,3221221376,6,8,0,0,0,
17-10 12:52:41,0,0.125,99.875,0,0,612958208,65194491904,191016960,1238765568,0,1064960,0,246,486,414,0,0,0,185,97,0,3221221376,6,8,0,0,0,
17-10 12:52:42,0,0.063,99.937,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,914,430,0,0,0,66,107,0,3221221376,6,8,0,0,0,
17-10 12:52:43,0,0.062,99.938,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,606,474,0,0,0,85,137,0,3221221376,6,8,0,0,0,
17-10 12:52:44,0,0.125,99.875,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,545,414,0,0,0,56,87,0,3221221376,6,8,0,0,0,
17-10 12:52:45,0,0.062,99.875,0.062,0,612958208,65194491904,191016960,1238765568,0,24576,0,4,126,414,0,0,0,66,110,0,3221221376,6,8,0,0,0,
17-10 12:52:46,0,0.063,99.937,0,0,612958208,65194491904,191016960,1238765568,0,65536,0,12,545,430,0,0,0,70,101,0,3221221376,6,8,0,0,0,
17-10 12:52:47,0,0.062,99.938,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,246,430,0,0,0,72,129,0,3221221376,6,8,0,0,0,
17-10 12:52:48,0,0.063,99.937,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,605,414,0,0,0,61,93,0,3221221376,6,8,0,0,0,
17-10 12:52:49,0,0.125,99.875,0,0,612958208,65194491904,191016960,1238765568,0,0,0,0,856,414,0,0,0,68,111,0,3221221376,6,8,0,0,0,
